Year,Rank,ID,Name,Country,OfficialMoney,EventsPlayed
2018,1,93475,Ariya Jutanugarn,THA,2743949,28
2018,2,98193,Minjee Lee,AUS,1551032,27
2018,3,98648,Sung Hyun Park,KOR,1498077,24
2018,4,98267,Brooke M. Henderson,CAN,1473247,28
2018,5,98830,Nasa Hataoka,JPN,1454261,24
2018,6,98006,So Yeon Ryu,KOR,1438850,23
2018,7,98371,Sei Young Kim,KOR,1369418,27
2018,8,93254,Carlota Ciganda,ESP,1244610,25
2018,9,98184,Lexi Thompson,USA,1223748,20
2018,10,98455,Jin Young Ko,KOR,1159005,25
2018,11,88561,Danielle Kang,USA,1135441,25
2018,12,98109,Lydia Ko,NZL,1118180,26
2018,13,98350,Nelly Korda,USA,1055046,22
2018,14,98001,Moriya Jutanugarn,THA,1003169,28
2018,15,82866,Inbee Park,KOR,979527,13
2018,16,81901,Angela Stanford,USA,957270,25
2018,17,98011,Marina Alex,USA,901322,24
2018,18,88399,Jessica Korda,USA,883924,18
2018,19,98215,Charley Hull,ENG,869012,24
2018,20,98213,Austin Ernst,USA,858494,22
2018,21,98334,Georgia Hall,ENG,837678,19
2018,22,80142,Brittany Lincicome,USA,833586,21
2018,23,88510,Lizette Salas,USA,822064,24
2018,24,82901,Amy Yang,KOR,809492,23
2018,25,98236,Hyo Joo Kim,KOR,753439,22
2018,26,98372,In Gee Chun,KOR,741691,20
2018,27,82874,Shanshan Feng,CHN,738823,22
2018,28,82847,Eun-Hee Ji,KOR,691571,23
2018,29,88213,Pernilla Lindberg,SWE,669628,27
2018,30,98263,Angel Yin,USA,667423,27
2018,31,98290,Wei-Ling Hsu,TPE,630924,28
2018,32,88214,Ryann O'Toole,USA,627205,26
2018,33,88275,Jennifer Song,USA,626263,24
2018,34,98119,Caroline Masson,GER,621429,26
2018,35,98244,Megan Khang,USA,614164,29
2018,36,87662,Mo Martin,USA,583127,28
2018,37,98084,Amy Olson,USA,580873,24
2018,38,88114,Azahara Munoz,ESP,568975,26
2018,39,88106,Michelle Wie,USA,556322,16
2018,40,98239,Annie Park,USA,549421,19
2018,41,98279,Bronte Law,ENG,539306,25
2018,42,93411,Lindy Duncan,USA,534860,27
2018,43,88110,Pornanong Phatlum,THA,534304,27
2018,44,53696,Gaby Lopez,MEX,523153,24
2018,45,98192,Su Oh,AUS,515435,28
2018,46,98010,Brittany Altomare,USA,511750,28
2018,47,88109,Anna Nordqvist,SWE,502041,25
2018,48,88543,Jasmine Suwannapura,THA,491117,28
2018,49,98237,Yu Liu,CHN,464347,27
2018,50,82850,In-Kyung Kim,KOR,460644,16
2018,51,81106,Cristie Kerr,USA,426981,22
2018,52,98096,Emma Talley,USA,421287,27
2018,53,88308,Jenny Shin,KOR,419334,26
2018,54,87987,Chella Choi,KOR,414135,29
